areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
overview,United Kingdom,K02000001,2021-04-03,2506,4435184,2478,4421002,28,14182
overview,United Kingdom,K02000001,2021-04-02,2747,4432678,2701,4418524,46,14154
overview,United Kingdom,K02000001,2021-04-01,3674,4429931,3600,4415823,74,14108
overview,United Kingdom,K02000001,2021-03-31,3967,4426257,3899,4412223,68,14034
overview,United Kingdom,K02000001,2021-03-30,3779,4422290,3702,4408324,77,13966
overview,United Kingdom,K02000001,2021-03-29,4196,4418511,4113,4404622,83,13889
overview,United Kingdom,K02000001,2021-03-28,5029,4414315,4959,4400509,70,13806
overview,United Kingdom,K02000001,2021-03-27,3731,4409286,3683,4395550,48,13736
overview,United Kingdom,K02000001,2021-03-26,4567,4405555,4506,4391867,61,13688
overview,United Kingdom,K02000001,2021-03-25,5616,4400988,5534,4387361,82,13627
overview,United Kingdom,K02000001,2021-03-24,6224,4395372,6131,4381827,93,13545
overview,United Kingdom,K02000001,2021-03-23,5481,4389148,5399,4375696,82,13452
overview,United Kingdom,K02000001,2021-03-22,6458,4383667,6378,4370297,80,13370
overview,United Kingdom,K02000001,2021-03-21,5388,4377209,5325,4363919,63,13290
overview,United Kingdom,K02000001,2021-03-20,4246,4371821,4205,4358594,41,13227
overview,United Kingdom,K02000001,2021-03-19,5176,4367575,5111,4354389,65,13186
overview,United Kingdom,K02000001,2021-03-18,5623,4362399,5575,4349278,48,13121
overview,United Kingdom,K02000001,2021-03-17,5976,4356776,5913,4343703,63,13073
overview,United Kingdom,K02000001,2021-03-16,5849,4350800,5791,4337790,58,13010
overview,United Kingdom,K02000001,2021-03-15,6697,4344951,6633,4331999,64,12952
overview,United Kingdom,K02000001,2021-03-14,4425,4338254,4384,4325366,41,12888
overview,United Kingdom,K02000001,2021-03-13,4379,4333829,4341,4320982,38,12847
overview,United Kingdom,K02000001,2021-03-12,5716,4329450,5664,4316641,52,12809
overview,United Kingdom,K02000001,2021-03-11,5933,4323734,5876,4310977,57,12757
overview,United Kingdom,K02000001,2021-03-10,6251,4317801,6173,4305101,78,12700
overview,United Kingdom,K02000001,2021-03-09,6487,4311550,6385,4298928,102,12622
overview,United Kingdom,K02000001,2021-03-08,6890,4305063,6790,4292543,100,12520
overview,United Kingdom,K02000001,2021-03-07,4410,4298173,4371,4285753,39,12420
overview,United Kingdom,K02000001,2021-03-06,4628,4293763,4592,4281382,36,12381
overview,United Kingdom,K02000001,2021-03-05,5467,4289135,5409,4276790,58,12345
overview,United Kingdom,K02000001,2021-03-04,5937,4283668,5862,4271381,75,12287
overview,United Kingdom,K02000001,2021-03-03,6172,4277731,6102,4265519,70,12212
overview,United Kingdom,K02000001,2021-03-02,6919,4271559,6802,4259417,117,12142
overview,United Kingdom,K02000001,2021-03-01,7191,4264640,7043,4252615,148,12025
overview,United Kingdom,K02000001,2021-02-28,4873,4257449,4826,4245572,47,11877
overview,United Kingdom,K02000001,2021-02-27,4949,4252576,4910,4240746,39,11830
overview,United Kingdom,K02000001,2021-02-26,6783,4247627,6715,4235836,68,11791
overview,United Kingdom,K02000001,2021-02-25,8025,4240844,7901,4229121,124,11723
overview,United Kingdom,K02000001,2021-02-24,8845,4232819,8732,4221220,113,11599
overview,United Kingdom,K02000001,2021-02-23,9762,4223974,9632,4212488,130,11486
overview,United Kingdom,K02000001,2021-02-22,11655,4214212,11474,4202856,181,11356
overview,United Kingdom,K02000001,2021-02-21,8097,4202557,8043,4191382,54,11175
overview,United Kingdom,K02000001,2021-02-20,8312,4194460,8247,4183339,65,11121
overview,United Kingdom,K02000001,2021-02-19,10728,4186148,10604,4175092,124,11056
overview,United Kingdom,K02000001,2021-02-18,11794,4175420,11680,4164488,114,10932
overview,United Kingdom,K02000001,2021-02-17,11942,4163626,11815,4152808,127,10818
overview,United Kingdom,K02000001,2021-02-16,12941,4151684,12820,4140993,121,10691
overview,United Kingdom,K02000001,2021-02-15,14735,4138743,14561,4128173,174,10570
overview,United Kingdom,K02000001,2021-02-14,8994,4124008,8945,4113612,49,10396
overview,United Kingdom,K02000001,2021-02-13,9034,4115014,8977,4104667,57,10347
overview,United Kingdom,K02000001,2021-02-12,12573,4105980,12459,4095690,114,10290
overview,United Kingdom,K02000001,2021-02-11,13139,4093407,13052,4083231,87,10176
overview,United Kingdom,K02000001,2021-02-10,13899,4080268,13780,4070179,119,10089
overview,United Kingdom,K02000001,2021-02-09,14225,4066369,14096,4056399,129,9970
overview,United Kingdom,K02000001,2021-02-08,16194,4052144,16079,4042303,115,9841
overview,United Kingdom,K02000001,2021-02-07,11664,4035950,11619,4026224,45,9726
overview,United Kingdom,K02000001,2021-02-06,12320,4024286,12265,4014605,55,9681
overview,United Kingdom,K02000001,2021-02-05,16308,4011966,16203,4002340,105,9626
overview,United Kingdom,K02000001,2021-02-04,18492,3995658,18395,3986137,97,9521
overview,United Kingdom,K02000001,2021-02-03,19914,3977166,19788,3967742,126,9424
overview,United Kingdom,K02000001,2021-02-02,20267,3957252,20152,3947954,115,9298
overview,United Kingdom,K02000001,2021-02-01,22971,3936985,22852,3927802,119,9183
overview,United Kingdom,K02000001,2021-01-31,15783,3914014,15726,3904950,57,9064
overview,United Kingdom,K02000001,2021-01-30,17167,3898231,17098,3889224,69,9007
overview,United Kingdom,K02000001,2021-01-29,22433,3881064,22329,3872126,104,8938
overview,United Kingdom,K02000001,2021-01-28,24772,3858631,24659,3849797,113,8834
overview,United Kingdom,K02000001,2021-01-27,26303,3833859,26190,3825138,113,8721
overview,United Kingdom,K02000001,2021-01-26,27730,3807556,27588,3798948,142,8608
overview,United Kingdom,K02000001,2021-01-25,30736,3779826,30588,3771360,148,8466
overview,United Kingdom,K02000001,2021-01-24,17554,3749090,17512,3740772,42,8318
overview,United Kingdom,K02000001,2021-01-23,22344,3731536,22270,3723260,74,8276
overview,United Kingdom,K02000001,2021-01-22,30330,3709192,30208,3700990,122,8202
overview,United Kingdom,K02000001,2021-01-21,32501,3678862,32370,3670782,131,8080
overview,United Kingdom,K02000001,2021-01-20,35985,3646361,35824,3638412,161,7949
overview,United Kingdom,K02000001,2021-01-19,40526,3610376,40342,3602588,184,7788
overview,United Kingdom,K02000001,2021-01-18,45956,3569850,45752,3562246,204,7604
overview,United Kingdom,K02000001,2021-01-17,29592,3523894,29507,3516494,85,7400
overview,United Kingdom,K02000001,2021-01-16,31248,3494302,31160,3486987,88,7315
overview,United Kingdom,K02000001,2021-01-15,41450,3463054,41313,3455827,137,7227
overview,United Kingdom,K02000001,2021-01-14,43473,3421604,43317,3414514,156,7090
overview,United Kingdom,K02000001,2021-01-13,46506,3378131,46377,3371197,129,6934
overview,United Kingdom,K02000001,2021-01-12,50647,3331625,50435,3324820,212,6805
overview,United Kingdom,K02000001,2021-01-11,58591,3280978,58380,3274385,211,6593
overview,United Kingdom,K02000001,2021-01-10,37174,3222387,37105,3216005,69,6382
overview,United Kingdom,K02000001,2021-01-09,40035,3185213,39952,3178900,83,6313
overview,United Kingdom,K02000001,2021-01-08,48104,3145178,47958,3138948,146,6230
overview,United Kingdom,K02000001,2021-01-07,53187,3097074,53040,3090990,147,6084
overview,United Kingdom,K02000001,2021-01-06,58783,3043887,58627,3037950,156,5937
overview,United Kingdom,K02000001,2021-01-05,66636,2985104,66435,2979323,201,5781
overview,United Kingdom,K02000001,2021-01-04,77970,2918468,77772,2912888,198,5580
overview,United Kingdom,K02000001,2021-01-03,56333,2840498,56246,2835116,87,5382
overview,United Kingdom,K02000001,2021-01-02,61654,2784165,61558,2778870,96,5295
overview,United Kingdom,K02000001,2021-01-01,32482,2722511,32428,2717312,54,5199
overview,United Kingdom,K02000001,2020-12-31,53945,2690029,53860,2684884,85,5145
overview,United Kingdom,K02000001,2020-12-30,72161,2636084,72010,2631024,151,5060
overview,United Kingdom,K02000001,2020-12-29,83088,2563923,82928,2559014,160,4909
overview,United Kingdom,K02000001,2020-12-28,46407,2480835,46344,2476086,63,4749
overview,United Kingdom,K02000001,2020-12-27,48519,2434428,48457,2429742,62,4686
overview,United Kingdom,K02000001,2020-12-26,41109,2385909,41062,2381285,47,4624
overview,United Kingdom,K02000001,2020-12-25,14419,2344800,14395,2340223,24,4577
overview,United Kingdom,K02000001,2020-12-24,32391,2330381,32337,2325828,54,4553
overview,United Kingdom,K02000001,2020-12-23,42936,2297990,42862,2293491,74,4499
overview,United Kingdom,K02000001,2020-12-22,46475,2255054,46374,2250629,101,4425
overview,United Kingdom,K02000001,2020-12-21,48192,2208579,48117,2204255,75,4324
overview,United Kingdom,K02000001,2020-12-20,33064,2160387,33020,2156138,44,4249
overview,United Kingdom,K02000001,2020-12-19,25589,2127323,25552,2123118,37,4205
overview,United Kingdom,K02000001,2020-12-18,36417,2101734,36358,2097566,59,4168
overview,United Kingdom,K02000001,2020-12-17,34436,2065317,34376,2061208,60,4109
overview,United Kingdom,K02000001,2020-12-16,35428,2030881,35370,2026832,58,4049
overview,United Kingdom,K02000001,2020-12-15,34384,1995453,34330,1991462,54,3991
overview,United Kingdom,K02000001,2020-12-14,35200,1961069,35125,1957132,75,3937
overview,United Kingdom,K02000001,2020-12-13,22270,1925869,22228,1922007,42,3862
overview,United Kingdom,K02000001,2020-12-12,19591,1903599,19551,1899779,40,3820
overview,United Kingdom,K02000001,2020-12-11,24394,1884008,24343,1880228,51,3780
overview,United Kingdom,K02000001,2020-12-10,22916,1859614,22869,1855885,47,3729
overview,United Kingdom,K02000001,2020-12-09,21915,1836698,21857,1833016,58,3682
overview,United Kingdom,K02000001,2020-12-08,21068,1814783,21021,1811159,47,3624
overview,United Kingdom,K02000001,2020-12-07,21594,1793715,21545,1790138,49,3577
overview,United Kingdom,K02000001,2020-12-06,13737,1772121,13710,1768593,27,3528
overview,United Kingdom,K02000001,2020-12-05,12901,1758384,12889,1754883,12,3501
overview,United Kingdom,K02000001,2020-12-04,15834,1745483,15805,1741994,29,3489
overview,United Kingdom,K02000001,2020-12-03,15865,1729649,15822,1726189,43,3460
overview,United Kingdom,K02000001,2020-12-02,16683,1713784,16652,1710367,31,3417
overview,United Kingdom,K02000001,2020-12-01,16694,1697101,16648,1693715,46,3386
overview,United Kingdom,K02000001,2020-11-30,18205,1680407,18171,1677067,34,3340
overview,United Kingdom,K02000001,2020-11-29,10852,1662202,10833,1658896,19,3306
overview,United Kingdom,K02000001,2020-11-28,11091,1651350,11071,1648063,20,3287
overview,United Kingdom,K02000001,2020-11-27,14563,1640259,14535,1636992,28,3267
overview,United Kingdom,K02000001,2020-11-26,14766,1625696,14737,1622457,29,3239
overview,United Kingdom,K02000001,2020-11-25,16815,1610930,16785,1607720,30,3210
overview,United Kingdom,K02000001,2020-11-24,16678,1594115,16645,1590935,33,3180
overview,United Kingdom,K02000001,2020-11-23,19026,1577437,18990,1574290,36,3147
overview,United Kingdom,K02000001,2020-11-22,11900,1558411,11885,1555300,15,3111
overview,United Kingdom,K02000001,2020-11-21,12540,1546511,12526,1543415,14,3096
overview,United Kingdom,K02000001,2020-11-20,17106,1533971,17075,1530889,31,3082
overview,United Kingdom,K02000001,2020-11-19,18043,1516865,18011,1513814,32,3051
overview,United Kingdom,K02000001,2020-11-18,21087,1498822,21047,1495803,40,3019
overview,United Kingdom,K02000001,2020-11-17,23491,1477735,23460,1474756,31,2979
overview,United Kingdom,K02000001,2020-11-16,26958,1454244,26926,1451296,32,2948
overview,United Kingdom,K02000001,2020-11-15,16235,1427286,16220,1424370,15,2916
overview,United Kingdom,K02000001,2020-11-14,18229,1411051,18212,1408150,17,2901
overview,United Kingdom,K02000001,2020-11-13,24397,1392822,24367,1389938,30,2884
overview,United Kingdom,K02000001,2020-11-12,24836,1368425,24799,1365571,37,2854
overview,United Kingdom,K02000001,2020-11-11,27760,1343589,27720,1340772,40,2817
overview,United Kingdom,K02000001,2020-11-10,27795,1315829,27753,1313052,42,2777
overview,United Kingdom,K02000001,2020-11-09,31522,1288034,31474,1285299,48,2735
overview,United Kingdom,K02000001,2020-11-08,20250,1256512,20227,1253825,23,2687
overview,United Kingdom,K02000001,2020-11-07,18773,1236262,18757,1233598,16,2664
overview,United Kingdom,K02000001,2020-11-06,23667,1217489,23628,1214841,39,2648
overview,United Kingdom,K02000001,2020-11-05,24070,1193822,24024,1191213,46,2609
overview,United Kingdom,K02000001,2020-11-04,24029,1169752,23991,1167189,38,2563
overview,United Kingdom,K02000001,2020-11-03,25951,1145723,25902,1143198,49,2525
overview,United Kingdom,K02000001,2020-11-02,31942,1119772,31896,1117296,46,2476
overview,United Kingdom,K02000001,2020-11-01,15978,1087830,15955,1085400,23,2430
overview,United Kingdom,K02000001,2020-10-31,16684,1071852,16663,1069445,21,2407
overview,United Kingdom,K02000001,2020-10-30,22891,1055168,22859,1052782,32,2386
overview,United Kingdom,K02000001,2020-10-29,23621,1032277,23584,1029923,37,2354
overview,United Kingdom,K02000001,2020-10-28,23902,1008656,23871,1006339,31,2317
overview,United Kingdom,K02000001,2020-10-27,24353,984754,24324,982468,29,2286
overview,United Kingdom,K02000001,2020-10-26,26806,960401,26778,958144,28,2257
overview,United Kingdom,K02000001,2020-10-25,15898,933595,15887,931366,11,2229
overview,United Kingdom,K02000001,2020-10-24,16436,917697,16419,915479,17,2218
overview,United Kingdom,K02000001,2020-10-23,21696,901261,21661,899060,35,2201
overview,United Kingdom,K02000001,2020-10-22,23479,879565,23456,877399,23,2166
overview,United Kingdom,K02000001,2020-10-21,25724,856086,25693,853943,31,2143
overview,United Kingdom,K02000001,2020-10-20,25624,830362,25575,828250,49,2112
overview,United Kingdom,K02000001,2020-10-19,25887,804738,25855,802675,32,2063
overview,United Kingdom,K02000001,2020-10-18,14325,778851,14304,776820,21,2031
overview,United Kingdom,K02000001,2020-10-17,14887,764526,14869,762516,18,2010
overview,United Kingdom,K02000001,2020-10-16,17915,749639,17879,747647,36,1992
overview,United Kingdom,K02000001,2020-10-15,18611,731724,18571,729768,40,1956
overview,United Kingdom,K02000001,2020-10-14,19919,713113,19892,711197,27,1916
overview,United Kingdom,K02000001,2020-10-13,19119,693194,19084,691305,35,1889
overview,United Kingdom,K02000001,2020-10-12,19679,674075,19651,672221,28,1854
overview,United Kingdom,K02000001,2020-10-11,12208,654396,12198,652570,10,1826
overview,United Kingdom,K02000001,2020-10-10,12652,642188,12636,640372,16,1816
overview,United Kingdom,K02000001,2020-10-09,15894,629536,15860,627736,34,1800
overview,United Kingdom,K02000001,2020-10-08,18426,613642,18403,611876,23,1766
overview,United Kingdom,K02000001,2020-10-07,18574,595216,18543,593473,31,1743
overview,United Kingdom,K02000001,2020-10-06,17250,576642,17219,574930,31,1712
overview,United Kingdom,K02000001,2020-10-05,16754,559392,16715,557711,39,1681
overview,United Kingdom,K02000001,2020-10-04,11953,542638,11944,540996,9,1642
overview,United Kingdom,K02000001,2020-10-03,11667,530685,11657,529052,10,1633
overview,United Kingdom,K02000001,2020-10-02,13854,519018,13823,517395,31,1623
overview,United Kingdom,K02000001,2020-10-01,13358,505164,13327,503572,31,1592
overview,United Kingdom,K02000001,2020-09-30,12717,491806,12683,490245,34,1561
overview,United Kingdom,K02000001,2020-09-29,10367,479089,10325,477562,42,1527
overview,United Kingdom,K02000001,2020-09-28,9983,468722,9963,467237,20,1485
overview,United Kingdom,K02000001,2020-09-27,7023,458739,7012,457274,11,1465
overview,United Kingdom,K02000001,2020-09-26,6810,451716,6802,450262,8,1454
overview,United Kingdom,K02000001,2020-09-25,7318,444906,7299,443460,19,1446
overview,United Kingdom,K02000001,2020-09-24,7682,437588,7658,436161,24,1427
overview,United Kingdom,K02000001,2020-09-23,7096,429906,7072,428503,24,1403
overview,United Kingdom,K02000001,2020-09-22,6441,422810,6418,421431,23,1379
overview,United Kingdom,K02000001,2020-09-21,5627,416369,5611,415013,16,1356
overview,United Kingdom,K02000001,2020-09-20,5340,410742,5333,409402,7,1340
overview,United Kingdom,K02000001,2020-09-19,4889,405402,4884,404069,5,1333
overview,United Kingdom,K02000001,2020-09-18,4973,400513,4946,399185,27,1328
overview,United Kingdom,K02000001,2020-09-17,4675,395540,4653,394239,22,1301
overview,United Kingdom,K02000001,2020-09-16,4399,390865,4371,389586,28,1279
overview,United Kingdom,K02000001,2020-09-15,3551,386466,3521,385215,30,1251
overview,United Kingdom,K02000001,2020-09-14,3428,382915,3399,381694,29,1221
overview,United Kingdom,K02000001,2020-09-13,2154,379487,2147,378295,7,1192
overview,United Kingdom,K02000001,2020-09-12,2670,377333,2659,376148,11,1185
overview,United Kingdom,K02000001,2020-09-11,3324,374663,3294,373489,30,1174
overview,United Kingdom,K02000001,2020-09-10,3628,371339,3606,370195,22,1144
overview,United Kingdom,K02000001,2020-09-09,3365,367711,3343,366589,22,1122
overview,United Kingdom,K02000001,2020-09-08,3370,364346,3330,363246,40,1100
overview,United Kingdom,K02000001,2020-09-07,3931,360976,3878,359916,53,1060
overview,United Kingdom,K02000001,2020-09-06,2465,357045,2455,356038,10,1007
overview,United Kingdom,K02000001,2020-09-05,2551,354580,2544,353583,7,997
overview,United Kingdom,K02000001,2020-09-04,3092,352029,3057,351039,35,990
overview,United Kingdom,K02000001,2020-09-03,3152,348937,3105,347982,47,955
overview,United Kingdom,K02000001,2020-09-02,3077,345785,3015,344877,62,908
overview,United Kingdom,K02000001,2020-09-01,2288,342708,2267,341862,21,846
overview,United Kingdom,K02000001,2020-08-31,1513,340420,1506,339595,7,825
overview,United Kingdom,K02000001,2020-08-30,1171,338907,1167,338089,4,818
overview,United Kingdom,K02000001,2020-08-29,1230,337736,1225,336922,5,814
overview,United Kingdom,K02000001,2020-08-28,1632,336506,1621,335697,11,809
overview,United Kingdom,K02000001,2020-08-27,1591,334874,1563,334076,28,798
overview,United Kingdom,K02000001,2020-08-26,1388,333283,1359,332513,29,770
overview,United Kingdom,K02000001,2020-08-25,1270,331895,1250,331154,20,741
overview,United Kingdom,K02000001,2020-08-24,1301,330625,1289,329904,12,721
overview,United Kingdom,K02000001,2020-08-23,831,329324,828,328615,3,709
overview,United Kingdom,K02000001,2020-08-22,842,328493,836,327787,6,706
overview,United Kingdom,K02000001,2020-08-21,1218,327651,1198,326951,20,700
overview,United Kingdom,K02000001,2020-08-20,1498,326433,1470,325753,28,680
overview,United Kingdom,K02000001,2020-08-19,1282,324935,1258,324283,24,652
overview,United Kingdom,K02000001,2020-08-18,1116,323653,1099,323025,17,628
overview,United Kingdom,K02000001,2020-08-17,1298,322537,1286,321926,12,611
overview,United Kingdom,K02000001,2020-08-16,602,321239,596,320640,6,599
overview,United Kingdom,K02000001,2020-08-15,714,320637,710,320044,4,593
overview,United Kingdom,K02000001,2020-08-14,1185,319923,1164,319334,21,589
overview,United Kingdom,K02000001,2020-08-13,1156,318738,1149,318170,7,568
overview,United Kingdom,K02000001,2020-08-12,1242,317582,1221,317021,21,561
overview,United Kingdom,K02000001,2020-08-11,1378,316340,1348,315800,30,540
overview,United Kingdom,K02000001,2020-08-10,1499,314962,1482,314452,17,510
overview,United Kingdom,K02000001,2020-08-09,627,313463,622,312970,5,493
overview,United Kingdom,K02000001,2020-08-08,710,312836,704,312348,6,488
overview,United Kingdom,K02000001,2020-08-07,973,312126,958,311644,15,482
overview,United Kingdom,K02000001,2020-08-06,1105,311153,1089,310686,16,467
overview,United Kingdom,K02000001,2020-08-05,1092,310048,1067,309597,25,451
overview,United Kingdom,K02000001,2020-08-04,1066,308956,1038,308530,28,426
overview,United Kingdom,K02000001,2020-08-03,1060,307890,1042,307492,18,398
overview,United Kingdom,K02000001,2020-08-02,564,306830,558,306450,6,380
overview,United Kingdom,K02000001,2020-08-01,559,306266,552,305892,7,374
overview,United Kingdom,K02000001,2020-07-31,698,305707,687,305340,11,367
overview,United Kingdom,K02000001,2020-07-30,946,305009,926,304653,20,356
overview,United Kingdom,K02000001,2020-07-29,1062,304063,1043,303727,19,336
overview,United Kingdom,K02000001,2020-07-28,856,303001,836,302684,20,317
overview,United Kingdom,K02000001,2020-07-27,869,302145,857,301848,12,297
overview,United Kingdom,K02000001,2020-07-26,563,301276,560,300991,3,285
overview,United Kingdom,K02000001,2020-07-25,530,300713,527,300431,3,282
overview,United Kingdom,K02000001,2020-07-24,774,300183,764,299904,10,279
overview,United Kingdom,K02000001,2020-07-23,808,299409,803,299140,5,269
overview,United Kingdom,K02000001,2020-07-22,816,298601,804,298337,12,264
overview,United Kingdom,K02000001,2020-07-21,788,297785,776,297533,12,252
overview,United Kingdom,K02000001,2020-07-20,830,296997,817,296757,13,240
overview,United Kingdom,K02000001,2020-07-19,448,296167,443,295940,5,227
overview,United Kingdom,K02000001,2020-07-18,505,295719,499,295497,6,222
overview,United Kingdom,K02000001,2020-07-17,582,295214,578,294998,4,216
overview,United Kingdom,K02000001,2020-07-16,712,294632,704,294420,8,212
overview,United Kingdom,K02000001,2020-07-15,777,293920,771,293716,6,204
overview,United Kingdom,K02000001,2020-07-14,705,293143,698,292945,7,198
overview,United Kingdom,K02000001,2020-07-13,740,292438,736,292247,4,191
overview,United Kingdom,K02000001,2020-07-12,366,291698,364,291511,2,187
overview,United Kingdom,K02000001,2020-07-11,459,291332,455,291147,4,185
overview,United Kingdom,K02000001,2020-07-10,568,290873,563,290692,5,181
overview,United Kingdom,K02000001,2020-07-09,722,290305,713,290129,9,176
overview,United Kingdom,K02000001,2020-07-08,713,289583,705,289416,8,167
overview,United Kingdom,K02000001,2020-07-07,609,288870,602,288711,7,159
overview,United Kingdom,K02000001,2020-07-06,714,288261,706,288109,8,152
overview,United Kingdom,K02000001,2020-07-05,558,287547,556,287403,2,144
overview,United Kingdom,K02000001,2020-07-04,399,286989,398,286847,1,142
overview,United Kingdom,K02000001,2020-07-03,568,286590,563,286449,5,141
overview,United Kingdom,K02000001,2020-07-02,606,286022,601,285886,5,136
overview,United Kingdom,K02000001,2020-07-01,652,285416,647,285285,5,131
overview,United Kingdom,K02000001,2020-06-30,623,284764,618,284638,5,126
overview,United Kingdom,K02000001,2020-06-29,724,284141,718,284020,6,121
overview,United Kingdom,K02000001,2020-06-28,449,283417,446,283302,3,115
overview,United Kingdom,K02000001,2020-06-27,653,282968,648,282856,5,112
overview,United Kingdom,K02000001,2020-06-26,666,282315,665,282208,1,107
overview,United Kingdom,K02000001,2020-06-25,726,281649,724,281543,2,106
overview,United Kingdom,K02000001,2020-06-24,777,280923,774,280819,3,104
overview,United Kingdom,K02000001,2020-06-23,883,280146,877,280045,6,101
overview,United Kingdom,K02000001,2020-06-22,899,279263,892,279168,7,95
overview,United Kingdom,K02000001,2020-06-21,636,278364,634,278276,2,88
overview,United Kingdom,K02000001,2020-06-20,683,277728,681,277642,2,86
overview,United Kingdom,K02000001,2020-06-19,993,277045,988,276961,5,84
overview,United Kingdom,K02000001,2020-06-18,1022,276052,1022,275973,0,79
overview,United Kingdom,K02000001,2020-06-17,1017,275030,1012,274951,5,79
overview,United Kingdom,K02000001,2020-06-16,1103,274013,1098,273939,5,74
overview,United Kingdom,K02000001,2020-06-15,1045,272910,1043,272841,2,69
overview,United Kingdom,K02000001,2020-06-14,826,271865,826,271798,0,67
overview,United Kingdom,K02000001,2020-06-13,886,271039,884,270972,2,67
overview,United Kingdom,K02000001,2020-06-12,1053,270153,1052,270088,1,65
overview,United Kingdom,K02000001,2020-06-11,1013,269100,1006,269036,7,64
overview,United Kingdom,K02000001,2020-06-10,1196,268087,1193,268030,3,57
overview,United Kingdom,K02000001,2020-06-09,1165,266891,1162,266837,3,54
overview,United Kingdom,K02000001,2020-06-08,1099,265726,1097,265675,2,51
overview,United Kingdom,K02000001,2020-06-07,722,264627,721,264578,1,49
overview,United Kingdom,K02000001,2020-06-06,804,263905,801,263857,3,48
overview,United Kingdom,K02000001,2020-06-05,1123,263101,1120,263056,3,45
overview,United Kingdom,K02000001,2020-06-04,1249,261978,1248,261936,1,42
overview,United Kingdom,K02000001,2020-06-03,1369,260729,1365,260688,4,41
overview,United Kingdom,K02000001,2020-06-02,1492,259360,1489,259323,3,37
overview,United Kingdom,K02000001,2020-06-01,1439,257868,1438,257834,1,34
overview,United Kingdom,K02000001,2020-05-31,1080,256429,1080,256396,0,33
overview,United Kingdom,K02000001,2020-05-30,1132,255349,1129,255316,3,33
overview,United Kingdom,K02000001,2020-05-29,1531,254217,1528,254187,3,30
overview,United Kingdom,K02000001,2020-05-28,1757,252686,1753,252659,4,27
overview,United Kingdom,K02000001,2020-05-27,1825,250929,1823,250906,2,23
overview,United Kingdom,K02000001,2020-05-26,2070,249104,2069,249083,1,21
overview,United Kingdom,K02000001,2020-05-25,1625,247034,1622,247014,3,20
overview,United Kingdom,K02000001,2020-05-24,1373,245409,1370,245392,3,17
overview,United Kingdom,K02000001,2020-05-23,1532,244036,1529,244022,3,14
overview,United Kingdom,K02000001,2020-05-22,2057,242504,2056,242493,1,11
overview,United Kingdom,K02000001,2020-05-21,2567,240447,2565,240437,2,10
overview,United Kingdom,K02000001,2020-05-20,2719,237880,2719,237872,0,8
overview,United Kingdom,K02000001,2020-05-19,3063,235161,3060,235153,3,8
overview,United Kingdom,K02000001,2020-05-18,2581,232098,2577,232093,4,5
overview,United Kingdom,K02000001,2020-05-17,1837,229517,1837,229516,0,1
overview,United Kingdom,K02000001,2020-05-16,2082,227680,2081,227679,1,1
overview,United Kingdom,K02000001,2020-05-15,2530,225598,2530,225598,,
overview,United Kingdom,K02000001,2020-05-14,2630,223068,2630,223068,,
overview,United Kingdom,K02000001,2020-05-13,3330,220438,3330,220438,,
overview,United Kingdom,K02000001,2020-05-12,3410,217108,3410,217108,,
overview,United Kingdom,K02000001,2020-05-11,3612,213698,3612,213698,,
overview,United Kingdom,K02000001,2020-05-10,2337,210086,2337,210086,,
overview,United Kingdom,K02000001,2020-05-09,2170,207749,2170,207749,,
overview,United Kingdom,K02000001,2020-05-08,3064,205579,3064,205579,,
overview,United Kingdom,K02000001,2020-05-07,3787,202515,3787,202515,,
overview,United Kingdom,K02000001,2020-05-06,3832,198728,3832,198728,,
overview,United Kingdom,K02000001,2020-05-05,3686,194896,3686,194896,,
overview,United Kingdom,K02000001,2020-05-04,3398,191210,3398,191210,,
overview,United Kingdom,K02000001,2020-05-03,3002,187812,3002,187812,,
overview,United Kingdom,K02000001,2020-05-02,3258,184810,3258,184810,,
overview,United Kingdom,K02000001,2020-05-01,4766,181552,4766,181552,,
overview,United Kingdom,K02000001,2020-04-30,4961,176786,4961,176786,,
overview,United Kingdom,K02000001,2020-04-29,5433,171825,5433,171825,,
overview,United Kingdom,K02000001,2020-04-28,4719,166392,4719,166392,,
overview,United Kingdom,K02000001,2020-04-27,4739,161673,4739,161673,,
overview,United Kingdom,K02000001,2020-04-26,3476,156934,3476,156934,,
overview,United Kingdom,K02000001,2020-04-25,3757,153458,3757,153458,,
overview,United Kingdom,K02000001,2020-04-24,4961,149701,4961,149701,,
overview,United Kingdom,K02000001,2020-04-23,5167,144740,5167,144740,,
overview,United Kingdom,K02000001,2020-04-22,5517,139573,5517,139573,,
overview,United Kingdom,K02000001,2020-04-21,4795,134056,4795,134056,,
overview,United Kingdom,K02000001,2020-04-20,4441,129261,4441,129261,,
overview,United Kingdom,K02000001,2020-04-19,3881,124820,3881,124820,,
overview,United Kingdom,K02000001,2020-04-18,4744,120939,4744,120939,,
overview,United Kingdom,K02000001,2020-04-17,4977,116195,4977,116195,,
overview,United Kingdom,K02000001,2020-04-16,5292,111218,5292,111218,,
overview,United Kingdom,K02000001,2020-04-15,5070,105926,5070,105926,,
overview,United Kingdom,K02000001,2020-04-14,4335,100856,4335,100856,,
overview,United Kingdom,K02000001,2020-04-13,4203,96521,4203,96521,,
