lag,emotion,corr,p_value,corr_sq
10,Positive,-0.35567445048919377,7.602320275143599e-12,0.12650431473078996
11,Positive,-0.3759015729910967,3.719179688237795e-13,0.14130199257718082
12,Positive,-0.37126829818833407,7.564721000343819e-13,0.13784014923966173
13,Positive,-0.3384908993970375,8.385312263036404e-11,0.11457608897461538
14,Positive,-0.3005692912078002,1.016590489861062e-08,0.09034189881715939
1,Sadness,0.11573397772831104,0.030648944110116677,0.013394353600817196
2,Sadness,0.1628574095873062,0.0022738848712406307,0.02652253585748762
3,Sadness,0.15421641337875483,0.003877489146356794,0.023782702155406992
4,Sadness,0.1586223615610942,0.0029633504468557412,0.025161053587218492
5,Sadness,0.1464652665269167,0.0061219285087744536,0.021452074298800743
13,Trust,-0.11285006806924613,0.03508413051936532,0.012735137863233485
